As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2024-04-09,FITB,15540717.0000000000,1.0141585881,FIFTH THIRD BANCORP,BBG000BJLCJ5,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,MTB,3787186.0000000000,0.9604960695,M&T BANK CORP,BBG000D9KZ32,US,USD,XNYS,1.0000000000,USD,Financials
2024-04-09,CTRA,17164924.0000000000,0.8677534077,COTERRA ENERGY INC,BBG000C3GR48,US,USD,XNYS,1.0000000000,USD,Energy
2024-04-09,HBAN,33029140.0000000000,0.8348754934,HUNTINGTON BANCSHARES INC,BBG000BKX3B7,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,CINF,3580677.0000000000,0.7875083444,CINCINNATI FINANCIAL CORP,BBG000BFPVV3,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,DRI,2745558.0000000000,0.7823643781,DARDEN RESTAURANTS INC,BBG000BBP059,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,RF,21224165.0000000000,0.7811727635,REGIONS FINANCIAL CORP,BBG000Q3JQJ6,US,USD,XNYS,1.0000000000,USD,Financials
2024-04-09,PKG,2045192.0000000000,0.7037102282,PACKAGING CORP OF AMERICA,BBG000BB8WD9,US,USD,XNYS,1.0000000000,USD,Materials
2024-04-09,SWKS,3637320.0000000000,0.6834163993,SKYWORKS SOLUTIONS INC,BBG000KLDQZ0,US,USD,XNGS,1.0000000000,USD,Information Technology
2024-04-09,BBY,4420348.0000000000,0.6391342798,BEST BUY INC,BBG000BCWFH3,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,SNA,1204416.0000000000,0.6373671824,SNAP ON INC,BBG000BT7MD3,US,USD,XNYS,1.0000000000,USD,Industrials
2024-04-09,CF,4359900.0000000000,0.6276409995,CF INDUSTRIES HOLDINGS INC,BBG000BWJJP7,US,USD,XNYS,1.0000000000,USD,Materials
2024-04-09,WSO,772855.0000000000,0.6199040671,WATSCO INC,BBG000DJN962,US,USD,XNYS,1.0000000000,USD,Industrials
