Holding,Symbol,Weighting
Moncler SpA,MONC,0.05%
ANTA Sports Products Ltd.,2020,0.05%
Public Bank Bhd,1295,0.05%
Kuaishou Technology Class B,1024,0.05%
EQT AB,EQT,0.05%
Sun Hung Kai Properties Limited,16,0.05%
Carlsberg AS Class B,CARL.B,0.05%
CP ALL Public Company Limited(Alien Mkt),CPALL.F,0.04%
KB Financial Group Inc. Sponsored ADR,KB,0.04%
Vale S.A. Sponsored ADR,VALE,0.04%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.04%
Schindler Holding AG Pref,SCHP,0.04%
Itausa SA Pfd,ITSA4,0.04%
Fresenius SE & Co. KGaA,FRE,0.04%
Novatek Microelectronics Corp.,3034,0.04%
Nestle India Ltd.,500790,0.04%
Alinma Bank,1150,0.04%
Shimano Inc.,7309,0.04%
Julius Baer Gruppe AG,BAER,0.04%
Asustek Computer Inc.,2357,0.04%
NTT DATA GROUP CORPORATION,9613,0.04%
Admiral Group plc,ADM,0.04%
Commerzbank AG,CBK,0.04%
Origin Energy Limited,ORG,0.04%
Smurfit Kappa Group PLC,SKG,0.04%
Coal India Ltd.,533278,0.04%
JSW Steel Limited,500228,0.04%
"Nitori Holdings Co., Ltd.",9843,0.04%
"Mitsui O.S.K.Lines,Ltd.",9104,0.04%
Grasim Industries Ltd.,500300,0.04%
Saudi Awwal Bank,1060,0.04%
Wistron Corporation,3231,0.04%
Brenntag SE,BNR,0.04%
"Resona Holdings, Inc.",8308,0.04%
Covestro AG,1COV,0.04%
Royal KPN NV,KPN,0.04%
Jio Financial Services Limited,543940,0.04%
Gold Fields Limited,GFI,0.04%
"Sumitomo Electric Industries, Ltd.",5802,0.04%
Nan Ya Plastics Corporation,1303,0.04%
SAMSUNG C&T CORP,028260,0.04%
Daiwa Securities Group Inc.,8601,0.04%
Kakao Corp.,035720,0.04%
"OBIC Co., Ltd.",4684,0.04%
EXOR N.V.,EXO,0.04%
Brookfield Asset Management Ltd. Class A,BAM,0.04%
Kirin Holdings Co. Ltd.,2503,0.04%
Telstra Group Limited,TLS,0.04%
Melrose Industries PLC,MRO,0.04%
PT Telkom Indonesia (Persero) Tbk Class B,TLKM,0.04%
Yaskawa Electric Corporation,6506,0.04%
Orsted,ORSTED,0.04%
Investor AB Class A,INVE.A,0.04%
Banco do Brasil S.A.,BBAS3,0.04%
"Kawasaki Kisen Kaisha, Ltd.",9107,0.04%
Smith & Nephew plc,SN,0.04%
Centrais Eletricas Brasileiras SA-Eletrobras,ELET3,0.04%
Adani Ports & Special Economic Zone Limited,532921,0.04%
Heineken Holding N.V.,HEIO,0.04%
Yuanta Financial Holding Co. Ltd.,2885,0.04%
"JFE Holdings, Inc.",5411,0.04%
Xero Limited,XRO,0.04%
"Nongfu Spring Co., Ltd. Class H",9633,0.04%
"ENEOS Holdings, Inc.",5020,0.04%
Hana Financial Group Inc.,086790,0.04%
Uni-President Enterprises Corp.,1216,0.04%
Insurance Australia Group Ltd,IAG,0.04%
BCE Inc.,BCE,0.04%
"SCREEN Holdings Co., Ltd",7735,0.04%
"Eisai Co., Ltd.",4523,0.04%
Alfa Laval AB,ALFA,0.04%
Imperial Oil Limited,IMO,0.04%
Qatar Islamic Bank,QIBK,0.04%
"Nomura Research Institute,Ltd.",4307,0.04%
Computershare Limited,CPU,0.04%
China Steel Corporation,2002,0.04%
Kikkoman Corporation,2801,0.04%
"SAMSUNG BIOLOGICS Co., Ltd.",207940,0.04%
Snam S.p.A.,SRG,0.04%
PKO Bank Polski S.A.,PKO,0.04%
Zomato Ltd.,543320,0.04%
Associated British Foods plc,ABF,0.04%
Sysmex Corporation,6869,0.04%
EDP-Energias de Portugal SA,EDP,0.04%
Adani Green Energy Limited,541450,0.04%
Terna S.p.A.,TRN,0.04%
Spirax-Sarco Engineering PLC,SPX,0.04%
ACS Actividades de Construccion y Servicios SA,ACS,0.04%
Wisetech Global Ltd.,WTC,0.04%
West Japan Railway Company,9021,0.04%
"Hyundai Mobis Co., Ltd",012330,0.04%
CIMB Group Holdings Bhd,1023,0.04%
"E.SUN Financial Holding Co., Ltd.",2884,0.04%
Bandai Namco Holdings Inc.,7832,0.04%
Neste Corporation,NESTE,0.04%
Aegon Ltd.,AGN,0.04%
Halma plc,HLMA,0.04%
LG Energy Solution Ltd.,373220,0.04%
Scentre Group,SCG,0.04%
"Sumitomo Realty & Development Co., Ltd.",8830,0.04%
OTP Bank Nyrt,OTP,0.04%
Epiroc AB Class A,EPI.A,0.04%
WEG S.A.,WEGE3,0.04%
POSCO Holdings Inc.,005490,0.04%
Galaxy Entertainment Group Limited,27,0.04%
"Shiseido Company,Limited",4911,0.04%
Banco BTG Pactual SA Units Cons of 1 Sh + 2 Pfd Shs A,BPAC11,0.04%
Airports of Thailand Public Co Ltd (Alien Mkt),AOT.F,0.03%
Bangkok Dusit Medical Services Public Co. Ltd.(Alien Mkt),BDMS.F,0.03%
Petroleo Brasileiro SA Sponsored ADR,PBR,0.03%
"KE Holdings, Inc. Sponsored ADR Class A",BEKE,0.03%
H World Group Limited Sponsored ADR,HTHT,0.03%
"Chunghwa Telecom Co., Ltd Sponsored ADR",CHT,0.03%
Banco Bradesco S.A. Sponsored ADR Pfd,BBD,0.03%
"Shinhan Financial Group Co., Ltd. Sponsored ADR",SHG,0.03%
United Microelectronics Corp. Sponsored ADR,UMC,0.03%
Sartorius AG Pref,SRT3,0.03%
Metso Corporation,METSO,0.03%
Lenovo Group Limited,992,0.03%
China Resources Land Limited,1109,0.03%
Tata Power Company Limited,500400,0.03%
Elm Company,7203,0.03%
"Hotai Motor Co., Ltd.",2207,0.03%
