Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","32,460,160.76","0.12","32,460,160.76","240,161.00","135.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","32,117,783.04","0.12","32,117,783.04","131,544.00","244.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","32,106,283.50","0.12","32,106,283.50","58,475.00","549.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Communication","Equity","31,685,569.50","0.12","31,685,569.50","1,006,850.00","31.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","31,442,510.88","0.12","31,442,510.88","98,307.00","319.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNT","ALLIANT ENERGY CORP","Utilities","Equity","31,378,151.35","0.12","31,378,151.35","634,543.00","49.45","United States","NASDAQ","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","31,007,158.56","0.12","31,007,158.56","283,248.00","109.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","30,738,754.20","0.11","30,738,754.20","93,710.00","328.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NI","NISOURCE INC","Utilities","Equity","30,729,588.75","0.11","30,729,588.75","1,119,475.00","27.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","30,596,767.61","0.11","30,596,767.61","263,017.00","116.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Equity","30,531,074.00","0.11","30,531,074.00","250,460.00","121.90","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","30,455,977.20","0.11","30,455,977.20","529,485.00","57.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","30,329,546.00","0.11","30,329,546.00","203,554.00","149.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","30,045,233.16","0.11","30,045,233.16","120,388.00","249.57","United States","NASDAQ","USD","1.00","USD","-"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","29,678,573.34","0.11","29,678,573.34","392,418.00","75.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","28,545,321.36","0.11","28,545,321.36","151,418.00","188.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","28,088,182.53","0.10","28,088,182.53","279,401.00","100.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SJM","JM SMUCKER","Consumer Staples","Equity","27,513,953.28","0.10","27,513,953.28","237,312.00","115.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","27,276,036.38","0.10","27,276,036.38","261,917.00","104.14","United States","NASDAQ","USD","1.00","USD","-"
"PNW","PINNACLE WEST CORP","Utilities","Equity","26,915,116.00","0.10","26,915,116.00","363,325.00","74.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","26,772,460.00","0.10","26,772,460.00","253,000.00","105.82","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","26,232,746.74","0.10","26,232,746.74","26,232,747.00","100.00","United States","-","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","25,742,865.72","0.10","25,742,865.72","605,572.00","42.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","25,520,316.48","0.10","25,520,316.48","87,008.00","293.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Financials","Equity","25,507,762.35","0.09","25,507,762.35","481,733.00","52.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","25,183,093.91","0.09","25,183,093.91","179,533.00","140.27","United States","NASDAQ","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","24,906,720.79","0.09","24,906,720.79","461,321.00","53.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","24,366,522.00","0.09","24,366,522.00","76,866.00","317.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","24,178,242.18","0.09","24,178,242.18","154,257.00","156.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","23,980,820.24","0.09","23,980,820.24","385,916.00","62.14","United States","NASDAQ","USD","1.00","USD","-"
"WSO","WATSCO INC","Industrials","Equity","23,768,935.05","0.09","23,768,935.05","53,465.00","444.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
